codigo;ex;tipo;descricao;nacionalfederal;importadosfederal;estadual;municipal;vigenciainicio;vigenciafim;chave;versao;fonte
01012100;;0;"Cavalos reprodutores,de raca pura";4.20;6.20;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01012900;;0;"Cavalos vivos,exceto reprodutores de raca pura";4.20;6.92;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01013000;;0;"Asininos";4.20;7.61;6.84;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01019000;;0;"Outros asininos e muares,vivos";4.20;7.61;6.84;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01022110;;0;"Bovinos reprodutores,de raca pura,prenhe ou com cria ao pe";4.20;6.20;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01022190;;0;"Outros bovinos reprodutores,de raca pura";4.20;6.20;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01022911;;0;"Outros bovinos para reprodução, prenhe ou com cria ao pe";4.20;6.92;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01022919;;0;"Outros bovinos domésticos para reprodução";4.20;6.92;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01022990;;0;"Outros bovinos domésticos";4.20;6.92;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01023110;;0;"Búfalos reprodutores,de raca pura, prenhe ou com cria ao pe";4.20;6.20;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01023190;;0;"Outros búfalos reprodutores,de raca pura";4.20;6.20;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01023911;;0;"Outros búfalos para reprodução, prenhe ou com cria ao pe";4.20;6.92;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01023919;;0;"Outros búfalos para reprodução";4.20;6.92;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01023990;;0;"Outros búfalos";4.20;6.92;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01029000;;0;"Outros animais vivos da espécie bovina";4.20;6.20;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01031000;;0;"Suinos  reprodutores de raça pura";4.20;6.20;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01039100;;0;"Outros suinos,vivos,de peso inferior a 50kg";4.20;6.92;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01039200;;0;"Outros suinos,vivos,de peso igual ou superior a 50kg";4.20;6.92;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01041011;;0;"Ovinos reprodutores,de raca pura,prenhe ou c/cria ao pe";4.20;6.20;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01041019;;0;"Outros ovinos,reprodutores,de raca pura";4.20;6.20;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01041090;;0;"Outros ovinos,vivos";4.20;6.92;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01042010;;0;"Caprinos reprodutores,de raca pura";4.20;6.20;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01042090;;0;"Outros caprinos,vivos";4.20;6.92;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01051110;;0;"Galos e galinhas,p<=185g,de linha pura/hibrida, p/reprod";4.20;6.20;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01051190;;0;"Outros galos e galinhas,vivos,de peso n/superior a 185g";4.20;6.92;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01051200;;0;"Peruas e perus,vivos,de peso nao superior a 185g";4.20;6.92;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01051300;;0;"Patos vivos,de peso<=185g";4.20;6.92;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01051400;;0;"Gansos, vivos,de peso<=185g";4.20;6.92;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01051500;;0;"Galinhas dangola (pintadas),vivos,de peso<=185g";4.20;6.92;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01059400;;0;"Outros galos e galinhas,vivos de peso>185g";4.20;7.61;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01059900;;0;"Patos,gansos,perus,peruas,pintadas,vivos,de peso>185g";4.20;7.61;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01061100;;0;"Primatas";4.20;7.61;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01061200;;0;"Baleias, golfinhos e botos, peixes-boi e digongos, otárias e focas, leões-marinhos e morsas";4.20;7.61;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01061300;;0;"Camelos e outros camelídeos";4.20;7.61;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01061400;;0;"Coelhos e lebres";4.20;7.61;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01061900;;0;"Outros animais mamíferos";4.20;7.61;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01062000;;0;"Répteis incluídas as serpentes e as tartarugas marinhas";4.20;7.61;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01063100;;0;"Aves de rapina";4.20;7.61;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01063200;;0;"Psitaciformes (incluídos os papagaios, os periquitos, as araras e as cacatuas)";4.20;7.61;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01063310;;0;"Avestruzes para reprodução";4.20;6.20;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01063390;;0;"Outros avestruzes, emus";4.20;7.61;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01063900;;0;"Outras aves";4.20;7.61;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01064100;;0;"Abelhas";4.20;7.61;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01064900;;0;"Outro insetos";4.20;7.61;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
01069000;;0;"Outros animais vivos";4.20;7.61;14.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02011000;;0;"Carcacas e meias carcacas,de bovino,frescas ou refriger";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
02012010;;0;"Quartos dianteiros,de bovino,n/desossad. frescos/refrig.";4.20;9.53;0.00;0.00;01/01/2018;31/03/2018;A5G7R1;18.1.A;IBPT/FECOMERCIO RJ
